Name,Date Established,State,City,Type of Society,Society,Cesation of Society,Publication,First Publication Year,,url
Maine Institute of Natural Science,1836,ME,Portland,Specialized,,1843,,,,
Portland Society of Natural History,1843,ME,Portland,Specialized,,,,,,
New England Society for the Promotion of Natural History,1814,MA,Boston,Specialized,,1815,,,,
Linnaean Society of New England,1815,MA,Boston,Specialized,,1822,,,,
Boston Society of Natural History,1830,MA,Boston,Specialized,,,Boston Journal of Natural History,1830,,
Providence Franklin Society,1821,RI,Providence,,,1922,,,,
Philophusian Society,1820,RI,Providence,,,1826,,,,
Amherst College Natural History Society,1822,MA,Amherst,,,,,,,
Worcester Lyceum of Natural History,1825,MA,Worcester,,,1830,,,,
Natural History Department of the Young Men's Library Association,1854,MA,Worcester,,,1866,,,,
Worcester Lyceum Natural History Association,1866,MA,Worcester,,,1884,,,,
Worcester Natural History Society,1884,MA,Worcester,,,,,,,
Essex County Natural History Society,1833,MA,Salem,,,,,,,
Yale Institute of Natural Science,1834,CT,New Haven,,,1835,American Journal of Science,,,
Yale Institute of Natural Science,1835,CT,New Haven,,,,,,,
Natural History Society of Hartford,1835,CT,Hartford,,,1845,,,,
Connecticut Society of Natural History,1845,CT,Hartford,,,,,,,
Williams College Lyceum of Natural History,1835,MA,,,,,,,,
Cuvierian or Natural History Society of Wesleyan University,1836,CT,Middletown,,,,,,,
Harvard Sciences,1841,NH,Hanover,,,,,,,
Lynn Natural History Society,1842,MA,Lynn,,,,,,,
Portland Society of Natural History,1843,ME,Portland,,,,,,,
Concord Natural History Society,1846,NH,Concord,,,,,,,
Essex Institute,1848,MA,Salem,,,,,,,
"Society for the Promotion of Agriculture, Arts and Manufacturer",1791,NY,NY ,,,1814,,,,
Literary and Philosophical society of New Yor,1814,NY,NY,,,,,,,
Lyceum of Natural History of New York,1817,NY,NY,,,1876,,,,
New York Historical Society,1804,NY,NY,,,,,,,
New York Academy of Science,1876,NY,NY,,,,,,,
Brooklyn Institute of Arts and Sciences,1823,NY,Brooklyn,,,1824,,,,
Apprentices' Free Library of Brooklyn,1824,NY,Brooklyn,,,1843,,,,
Brooklyn Institute   ,1843,NY ,Brooklyn,,,,,,,
