Military School,City,State
Abingdon,Abingdon,VA
Alabama Military and Scientific Institute,Eufaula,AL
Alachua Military Institute,Newnansville,FL
Albemarle Military Institute,Charlottesville,VA
Alexander Institute,Tulip,AR
American Classical and Miltary Lyceum,Mount Airy,PA
"American Literary, Scientific and Military Academy",Norwich,VT
Arkansas Military Institute,Tulip,AR
Bastrop Military Institute,Bastrop,TX
Betts Military Academy,Samford,CT
Bingham's Military School,Oxford/Fayette,NC
Bowden Collegiate and Military Institute,Carroll Co.,GA
Brandon State Military Institute,Jackson,MS
Caldwell Institute,Lenoir,NC
Central Masonic Institute,Selma,AL
Collegiate and Miltary School,Boston,MA
Columbus Military Academy,Columbus,MS
Culpeper Military Academy,Culpeper,VA
Danville Military Institute,Danville,VA
Delaware Military Academy,Wilmington,DE
Eagleswood Military Academy,Perth Amboy,NJ
Episcopal High School,Alexandria,VA
Erskine College,Erskine,SC
Fleetwood Academy,Walkerton,VA
Florida Collegiate and Military Institute,Tallahassee,FL
Florida Seminary,Tallahassee,FL
Franklin Military School,Duplin,NC
Front Royal Academy,Front Royal,VA
Georgia Military Institute,Marietta,GA
Gibson F. Hill's Military Academy,Montgomery,AL
Glenville Male Collegiate and Military Institute,Glenville,AL
Hampton Military Academy,Hampton,VA
Henderson Military and Female Institute,Henderson,NC
Hillsboro Military Academy,Hillsboro,NC
Jefferson College,Washington,MS
Jones Military School,Wilmington,NC
Kemper Military Junior College,Boonville,MO
Kentucky Military Institute,Drennon Springs,KY
Kings Mountain Military Academy,Yorkville,SC
La Grange Military Academy,La Grange,AL
Lenoir Count Military School,Smithfield,NC
Louisiana State Seminary and Military Academy,Alexandria,LA
Mantua Classical and Military Academy,Philadelphia,PA
Marion Military College,Marion,AL
Maryland Military Academy,Oxford,MD
Metropolitan Academy and Gymnasium,New York,NY
Military Academy at Middleburg,Middleburg,VA
Military and Scientific Institute,Baton Rouge,LA
Military School,Onancock,VA
Military School at Lexington,Lexington,MO
Mississippi Military Academy,Jackson,MS
"Missouri Literary, Scientific and Military Academy",St. Louis,MO
National Scientific and Military College,Brandywine,DE
Norfolk Academy,Norfolk,VA
"North Carloina Class, Math and Military Academy",Raleigh,NC
"North Carolina Literary, Scientific and Military Academy",Raleigh,NC
North Carolina Military Acadmey,Raleigh,NC
North Carolina Military Institute,Charlotte,NC
Oak Hill Military Academy,Granville,NC
"Pennsylvania Literary, Scientific and Military Collegiate Institute",Harrisburg,PA
Pennsylvania Military Acadmey,Chester,PA
Petersburg Military Academy,Petersburg,VA
Portsmougth Academy,Portsmouth,VA
Quincy Military Academy,Quincy,FL
Raleigh Military Academy,Raleigh,NC
Rappahannock Academy and Military Instititute,Rappahannock,VA
Rice Creek Spring Military Academy,Rice Creek Spring,SC
Rumford Academy,King William Co.,VA
Shelby Mlitary Institute,Shelby Co. ,TN
South Carolina Military Acadmey (the Arsenal),Columbia,SC
South Carolina Military Acadmey (the Citadel),Charleston,SC
Southern Military Academy,Wetumpka,AL
Southern Polytechnic Institute,Birmingham,AL
St. Thomas's Hall,Biloxi,MS
Sumterville Male Academy,Sumterville,AL
Texas Military Insitute,Bastrop,TX
Texas Military Insitute,Galveston,TX
Texas Monumental and Military Institute,La Grance,TX
Tiskegee Classical and Scientific Institute,Tuskegee,AL
United States Military Academy at West Point,West Point,NY
United States Naval Academy at Annapolis,Annapolis,MD
Unity Scientific and Military Academy,Claremont,NH
Univeristy of Alabama,Tuscaloosa,AL
Iniversity of Mississippi,Oxford,MS
"Virginia Leterary, Scientific and Military Academy",Portsmouth,VA
Virginia Military Institute,Lexington,VA
Wake Forest College,Winston-Salem,NC
West Alabama Institute,Sumterville,AL
West Florida Seminary,Tallahassee,FL
Western Military Institute,Georgetown,KY
Westover Military Academy,Lynchburg,VA
Williamsburg Military School,Williamsburg,VA
Wisewell's Yonkers Collegiate and Miltary Institute,Yonkers,NY
