State,Locality ,Name,Type ,Founding Date
AK,Sitka,A Russian Library,Social,1806
CA,Antioch,,Social,1867
CA,Auburn,Odd Fellows' Library,Fraternal organization,1861
CA,Colusa,Colusa Library Assoc.,Social,1867
CA,El Dorado,,Social,1860
CA,Eureka,Humboldt Library Assoc.,Social,1859
CA,Fresno,A social and literary society with library,Social,1875
CA,Grass Valley,Grass Valley Library,Social,1869
CA,Hawkin's Bar,,Social,1854
CA,Healdsburg,a library association,Social,1875
CA,Jackson,Odd Fellows' Library,Fraternal organization,1865
CA,Lafayette,,Social,1860
CA,Los Angeles,Library Association,Social,1859
CA,Los Angeles,Los Angeles Library Assoc.,Social,1872
CA,Los Angeles,Amigos del Pais Social Library,Social,1844
CA,Marysville,Marysville City Library,Social,1858
CA,Marysville,Masons Library,Fraternal organization,1868
CA,Maryville,Odd Fellows' Library,Fraternal organization,1858
CA,Monterey,Monterey Library Assoc.,Social,1849
CA,Napa,Library Assoc.,Social,1870
CA,Napa City,Napa City Library,Social,1857
CA,Nevada City,Nevada Library Assoc.,Social,1857
CA,Nevada City,Odd Fellows' Library,Fraternal organization,1855
CA,North San Juan,Bridgeport Library Assoc.,Social,1857
CA,Oakland,Oakland Library Assoc.,Social,1868
CA,Oakland,Oakland Reading Room Assoc.,Social,1874
CA,Oakland,Odd Fellows' Library,Fraternal organization,1867
CA,Oroville,Oroville Library,Social,1857
CA,Petaluma,Liberty Library,Social,1856
CA,Petaluma,Public Library of Petaluma,Fraternal organization,1866
CA,Pine Grove,Pine Grove Library,Social,1856
CA,Red Bluff,Odd Fellows' Library,Fraternal organization,1868
CA,Redwood City,Franklin Library,Social,1866
CA,Rio Vista,Free Reading Room,Social,1872
CA,Sacramento,Odd Fellows' Library,Fraternal organization,1855
CA,Sacramento,Sacramento Library Assoc.,Social,1857
CA,San Diego,San Diego Free Reading Room Assoc.,Social,1872
CA,San Diego,San Diego Library Assoc.,Social,1870
CA,San Francisco,California Institute,Social,1851
CA,San Francisco,Druids Society Library,Fraternal organization,1867
CA,San Francisco,Grand Lodge F. and A.M.,Fraternal organization,1850
CA,San Francisco,Knights of Pythias Library,Fraternal organization,1875
CA,San Francisco,Odd Fellows' Society Library,Fraternal organization,1855
CA,San Francisco,Red Man's Literary Association Library,Fraternal organization,1875
CA,San Francisco,St. Andrew's Society Library,Fraternal organization,1863
CA,San Francisco,San Francisco Art Association Library,Art society,1872
CA,San Francisco,Scandinavian Benevolent Society Library,Fraternal organization,1864
CA,San Francisco,Swedish Society of San Francisco Library,Fraternal organization,1873
CA,San Jose,Library Assoc.,Social,1872
CA,San Jose,Young Men's Literary Association,Young Men's Assoc.,1856
CA,San Luis Obispo,a library and reading room,Social,1871
CA,San Luis Obispo,Odd Fellows' Library,Fraternal organization,1874
CA,Santa Barbara,Odd Fellows' Library,Fraternal organization,1874
CA,Santa Cruz,Santa Cruz Library Assoc.,Social,1868
CA,Santa Rosa,Library Assoc.,Social,1869
CA,Santa Rosa,reading room,Social,1875
CA,Scott River,,Social,1864
CA,Shasta,Shasta Library Assoc.,Social,1858
CA,Stockton,Masonic Library,Fraternal organization,1852
CA,Stockton,Odd Fellows' Library,Fraternal organization,1857
CA,Suisun,Library,Social,1865
CA,Ukiah,Odd Fellows' Library,Fraternal organization,1874
CA,Vallejo,Vallejo Library Assoc.,Social,1856
CA,San Buenaventura,Ventura Public Library,Social,1874
CA,Visalia,Odd Fellows' / Twin Creeks Lodge,Fraternal organization,1868
CA,Watsonville,Odd Fellows' Library,Fraternal organization,1874
CA,Watsonville,Watsonville Literary and Library Assoc.,Social,1862
CA,Woodland,Woodland Library Assoc.,Social,1874
CA,Woodside,Woodside Library,Social,1859
CO,Colorado Springs,El Paso County Library,Social,1875
CO,Denver,Denver City & Auraria Reading Room & Library Assoc.,Social,1860
CO,Denver,Denver Library Assoc.,Social,1874
CO,Longmont,Longmont Library Hall,Social,1871
CO,Pueblo,a library association,Social,1868
CT,Abington,Junior Library of Abington,Social,1804
CT,Abington,United Library of Abington,Social,1815
CT,Barkhamsted,Washington Library Co.,Social,1827
CT,Berlin,Berlin Library,Social,1843
CT,Birmingham,Young Men's Institute,Young Men's Assoc.,1857
CT,Birmingham,Young Men's Institute,Young Men's Assoc.,1857
CT,Bloomfield,Wintonbury Union Library,Social,1833
CT,Bridgeport,Bridgeport Library,Social,1850
CT,Bridgeport,Social Library,Social,1830
CT,Bristol,North Bristol Library Society,Social,1825
CT,Brookfield,Union Library,Social,1819
CT,Brooklyn,Library Co.,Social,1825
CT,Buckingham,Library Assoc.,Social,1855
CT,Chester,Library Assoc.,Social,1875
CT,Clinton,Morgan Library Assoc.,Social,1872
CT,Colchester,Colchester Library,Social,1854
CT,Colchester,Westchester Union Library Association,Social,1823
CT,Colebrook,Colebrook River Library Company,Social,1831
CT,Columbia,Franklin Library Company,Social,1833
CT,Cornwall,Franklin Library Assoc.,Social,1832
CT,Cornwall,Library Assoc.,Social,1869
CT,Cornwall,Public Library in Cornwall.,Social,1804
CT,Danbury,Danbury Library,Social,1871
CT,Danielsonville,People's Library Assoc.,Social,1854
CT,Darien,Darien Library Assoc.,Social,1842
CT,Derby,Social Library,Social,1818
CT,East Haddam,Middlesex Lodge,Fraternal organization,1863
CT,East Lebanon,Social Library,Social,1830
CT,East River,Library Co.,Social,1874
CT,East Windsor,Library Association,Social,1849
CT,Ellington,Ellington Library Association,Social,1819
CT,Fairfield,Mill Plain Library,Social,1871
CT,Fairfield,Mill River Social Library of Southport,Social,1830
CT,Fairfield,Second Social Library in Greenfield,Social,1830
CT,Fairfield,Social Library of Greenfield,Social,1813
CT,Farmington,Farmington Library,Social,1875
CT,Farmington,Farmington Library Co.,Social,1839
CT,Farmington,Phoenix Library,Social,1814
CT,Goshen & Nelson,Goshen & Nelson Social Library,Social,1808
CT,Granby,Library Of West Granby,Social,1830
CT,Granby,Public Library Company of Turkey Hills,Social,1822
CT,Granby,Salmon Brook Library Company,Social,1822
CT,Greenwich,Town Library,Social,1805
CT,Griswold,Circulating Library Company,Social,1824
CT,Groton,Noank Library Assoc.,Social,1853
CT,Guildford,Union Library,Social,1817
CT,Hartford,Young Men's Institute,Young Men's Assoc.,1838
CT,Hampton,Hampton Library Association,Social,1804
CT,Hampton,Hampton Library,Social,1827
CT,Hartford,Masonic Grand Lodge Library,Fraternal organization,1860
CT,Hartford,Library Assoc.,Social,1838
CT,Hartford,Young Men's Institute,Young Men's Assoc.,1838
CT,Kensington,Kensington Library Association,Social,1829
CT,Kent,Union Library in Kent,Social,1829
CT,Killingly,Social Library,Social,1801
CT,Lakeville,Lakeville Library,Social,1860
CT,Litchfield,Bradleyville Library Company,Social,1837
CT,Litchfield,Circulating Library,Social,1870
CT,Litchfield,South Farms Library,Social,1829
CT,Litchfield,Wolcott Library Association,Social,1864
CT,Lyme,Grassy Hill Library and Reading Society,Social,1853
CT,Madison,Library Assoc.,Social,1873
CT,Manchester,Library Association,Social,1871
CT,New Haven,New Haven Young Men's Institute,Young Men's Assoc.,1840
NY,New York,American Academy of the Fine Arts,Art society,1802
CT,Waterbury,Young Men's Institute,Young Men's Assoc.,1852
CT,West Winsted,Beardsley Library,Social,1874
CT,Wethersfield,Rose Library,Social,1866
CT,Willington,Social Library,Social,1806
CT,Wilton,Columbian Library,Social,1803
CT,Winchester,Library Association,Social,1812
CT,Wolcottville,Library Association,Social,1864
CT,Woodbridge,Second Social Library,Social,1808
CT,Woodbury,Library Association,Social,1850
CT,Woodbury,Union Library,Social,1823
CT,Woodstock,Second Society Library,Social,1806
DC,Washington,Library Association of East Washington,Fraternal organization,1874
DC,Washington,Library Association,Fraternal organization,1860
DC,Washington,Masonic Library of the District of Columbia,Fraternal organization,1810
GA,Pope's Ferry,Taylor Grange No.13,Fraternal organization,1873
GA,Savannah,Young Men's Literary Association,Young Men's,1855
ID,Boise City,Circulating Library,Social,1870
IL,Aurora,Literary and Historical Society,Young Men's Assoc.,1858
IL,Aurora,Young Men's Lit. Assoc.,Young Men's Assoc.,1859
IL,Belleville,Saengerbund and Library Society,Musical society,1861
IL,Belleville,Saengerbund Society,Musical society,1855
IL,Chicago,Chicago Academy of Design,Art society,1866
IL,Chicago,Young Men Assoc.,Young Men's Assoc.,1838
IL,Freeburg,Saengerbund and Library Assoc.,Musical society,1871
IL,Galena,Young Men's Assoc.,Young Men's Assoc.,1854
IL,Galesburg,Free Public Library,Young Men's Assoc.,1858
IL,Geneseo,Young Men's Literary Assoc.,Young Men's Assoc.,1855
IL,Ottawa,Odd Fellows' Library,Fraternal organization,1865
IL,Peoria,Peoria Liederkrantz,Musical society,1851
IL,Rockford,Young Men's Assoc. Library,Young Men's Assoc.,1858
IL,St. Charles,Odd Fellows' Library,Fraternal organization,1860
IL,Springfield,Knights of Columbus Library,Fraternal organization,1868
IN,Ft. Wayne,Lafayette Benevolent Society Library,Fraternal organization,1870
IN,Indianapolis,Young Men's Literary Society Library,Young Men's Assoc.,1847
IN,La Porte,Odd Fellows' Library,Fraternal organization,1873
IN,Richmond,"Young Men's Literary Assoc. of Richmond, Wayne Co.",Young Men's Assoc.,1839
IA,Burlington,Public Library,Social,1868
IA,Cedar Falls,Library Assoc.,Social,1869
IA,Cedar Falls,Cedar Falls Public Library,Social,1871
IA,Cedar Rapids,Iowa Masonic Library,Fraternal organization,1844
IA,Davenport,Library Assoc. of Davenport,Social,1850
IA,Davenport,Library Assoc.,Social,1867
IA,Davenport,Young Men's Literary Assoc.,Young Men's Assoc.,1853
IA,Des Moines,Des Moines Library,Social,1867
IA,Fairfield,Jefferson County Library Assoc.,Social,1853
IA,Ft. Dodge,Library Assoc.,Social,1874
IA,Ft. Madison,Library Assoc.,Social,1872
IA,Iowa City,Citizens' Library Association,Social,1856
IA,Keokuk,Library Assoc.,Social,1863
IA,Keosanqua,Odd Fellows' Library,Fraternal organization,1848
IA,Lyons,Young Men's Assoc.,Young Men's Assoc.,1863
IA,Manchester,The Library Institute,Social,1867
IA,Maquoketa,Literary Assoc.,Social,1857
IA,Mason City,Library Assoc.,Social,1871
IA,Mason City,Occidental Library Assoc.,Social,1871
IA,Sigourney,Keokuk Co. Educaitonal Library,Social,1874
IA,Sioux City,Young Men's Literary Assoc. Library,Young Men's Assoc.,1869
IA,Waterloo,Library Assoc.,Social,1865
IA,Waverly,Library And Lecture Assoc.,Social,1868
KS,Chetopa City,Chetopa City Library,Social,1875
KS,Girard,Literary Institute and Library Assoc.,Social,1870
KS,Lawrence,City Library,Social,1865
KS,Manhattan,Manhattan Inst.,Social,1874
KS,Olathe,Library Assoc.,Social,1874
KS,Ottawa,Ottawa Library,Social,1872
KS,Topeka,Library Assoc.,Social,1871
KS,Wyandotte,Library Assoc.,Social,1867
NH,Bristol,Bristol Library,Social,1823
KY,Henderson,Knights & Pythias Library,Fraternal organization,1875
KY,Maysville,Odd Fellows' Library,Fraternal organization,1850
KY,Newport,Odd Fellows' Library Association,Fraternal organization,1868
LA,New Orleans,Grand Lodge of Louisiana,Fraternal organization,1853
ME,Auburn,Harper Library Association,Social,1845
ME,Auburn,Haskell and Reynolds Library,Social,1871
ME,Augusta,Augusta Union Society,Social,1819
ME,Augusta,Reading Room and Social Library,Social,1817
ME,Augusta,Town Library,Social,1832
ME,Bangor,Bangor Social Library,Social,1834
ME,Bar Harbor,Bar Harbor Library,Social,1875
ME,Bath,Patten Library Association,Social,1847
ME,Bolster's Mills,Village Library,Social,1859
ME,Bucksport,Social Library,Social,1806
ME,Buckstown,First Social Library,Social,1807
ME,Buxton,Buxton Library Association,Social,1806
MA,North Brookfield,Library Assoc.,Social,1857
ME,Calais,Calais Library Club,Social,1827
ME,Calais,St. Croix Library,Social,1868
ME,Castine,Social Library,Social,1801
ME,Cherryfield,Public Library,Social,1837
ME,Chesterville,Second Social Library,Social,1820
ME,Chesterville,Social Library,Social,1820
ME,Chesterville,Social Library Of Keith's Mills,Social,1832
ME,Corinna,Corinna Social Library,Social,1849
ME,Cornish,Library Assoc.,Social,1867
ME,Deering,Deering Public Library,Social,1870
ME,Dover,Piscatagues Law Library,Social law,1838
ME,Dresden,Dresden Library Assoc.,Social,1840
ME,East Machias,Public Library Association,Social,1874
ME,Ellsworth,City Library,Social,1856
ME,Farmington,First Unitarian Society,Religious social,1852
ME,Farmington,Franklin Co. Law Library Assoc.,Social law,1838
ME,Gardiner,Public Library,Social,1840
ME,Gorham,Social and Circulating Library,Social,1831
ME,Hallowell,Hallowell Social Library,Social,1842
ME,Harrison,Village Library Assoc.,Social,1871
ME,Houlton,Forest Club Library,Social,1849
ME,Houlton,Library Association,Social,1869
ME,Allen's Mills,Allen's Mills Social Library,Social,1830
ME,Kennebunk,Social Library,Social,1801
ME,Lewiston,Christian Social Library,Religious social,1819
ME,Lisbon,Moral Library,Social,1830
ME,Machias,Machias' Social Library,Social,1820
ME,Machias,Second Social Library,Social,1820
ME,Machias,Social Library,Social,1875
ME,New Gloucester,Circulating Library,Social,1853
ME,Newport,Circulating Library,Social,1875
ME,Norridgewock,Norridgewock Useful Library,Social,1848
ME,North Yarmouth,Second Social Library,Social,1812
ME,North Yarmouth,Third Social Library,Social,1818
ME,North Yarmouth,North Yarmouth & Falmouth Socl. Library,Social,1813
ME,Pembroke,,Social,1832
ME,Portland,Falmouth Socl. Library,Social,1803
ME,Portland,Greenleaf Law Library,Social law,1867
ME,Portland,Portland Institute & Public Library,Social,1867
ME,Prentiss,,Social,1858
ME,Presque Isle,Presque Isle Library,Social,1865
ME,Richmond,Richmond Library Association,Social,1868
ME,Saccarappa,Westbrook Social Library,Social,1802
ME,Skowhegan,Skowhegan Library,Social,1867
ME,South Berwick,Library,Social,1869
ME,South Berwick,South Berwick Social Library,Social,1816
ME,Thomaston,Thomaston Village Library Assoc.,Social,1843
ME,Turner,North Turner Bridge Library Co.,Social,1851
ME,Union,Union Library Society,Social,1825
ME,Waterville,Waterville Library,Social,1854
ME,Waterville,Second Social Library,Social,1818
ME,Waterville,Waterville Social Library,Social,1801
ME,Wells,Second Social Library,Social,1812
ME,Wells,Wells Social Library,Social,1802
ME,Westbrook,Westbrook Social Library,Social,1802
ME,Yarmouth,Yarmouth Social Library,Social,1805
MD,Baltimore,Odd Fellows' Library,Fraternal organization,1840
MD,Baltimore,Red Men's Library,Fraternal organization,1858
MD,Baltimore,Sovereign Grand Lodge,Fraternal organization,1858
MD,Lonacoming,Odd Fellows' Library,Fraternal organization,1868
MA,Abington,Centre Abington Library,Social,1854
MA,Amesbury,Public Library of Amesbury and Salisbury,Social,1856
MA,Ashfield,Library Assocation,Social,1866
MA,Attleboro,Library Association,Social,1864
MA,Berlin,Social Library,Social,1801
MA,Beverly,Beverly Social Library,Social,1802
MA,Beverly,Second Social Library,Social,1806
MA,Billerica,Library Assoc.,Social,1851
MA,Billerica,Second Social Library,Social,1807
MA,Blackinton,Blackinton Library,Social,1859
MA,Boston,Central Library,Social,1875
MA,Boston,Deaf Mute Library Association,Social,1872
MA,Boston,Handel & Hayden Society,Musical society,1815
MA,Boston,Third Social Library,Social,1834
MA,Boston,Washington Home Library,Social,1858
MA,Bradford,Union Library,Social,1864
MA,Brighton,Library Assoc.,Social,1856
MA,Brookline,Assoc. Of Young Men,Young Men's Assoc.,1846
MA,Brookline,Brookline Social Library,Social,1825
MA,Burlington,Burlington Social Library,Social,1816
MA,Cambridgeport,Franklin Library Assoc.,Social,1848
MA,Canton,Canton Social Library,Social,1833
MA,Charlestown,Bunker Hill Library Assoc.,Social,1854
MA,Charleston,Charleston Union Library,Social,1820
MA,Charleston,Washington Hall Reading Room,Social,1813
MA,Chatham,Pilgrim Library,Social,1875
MA,Chelsea,Library Assoc.,Social,1847
MA,Cheshire,Library Association,Social,1866
MA,Chesterfield,First Social Library,Social,1831
MA,Chicopee,Cabot Institute,Social,1847
MA,Clinton,Bigelow Library Assoc.,Social,1852
MA,Cohasset,Washington Library,Social,1830
MA,Concord,Concord Social Library,Social,1821
MA,Conway,Social Library,Social,1821
MA,Curtisville,Social Library,Social,1814
MA,Dalton,Dalton Library,Social,1860
MA,Dalton,Social Library of Dalton,Social,1808
MA,Danversport,New Mills Social Library,Social,1808
MA,Dedham,Bussey Social and Circulating Library,Social,1837
MA,Dedham,Clapboard Trees Parish Social Library,Social,1816
MA,Deerfield,Deerfield Library Assoc.,Social,1810
MA,Deerfield,Second Social Library,Social,1801
MA,Dennis,Dennis Library,Social,1873
MA,Dorchester,Mattapan Library Assoc.,Social,1848
MA,East Bridgewater,Eastville Social Library,Social,1840
MA,East Bridgewater,Library Assoc.,Social,1871
MA,East Bridgewater,Social Library Of Joppa Village,Social,1836
MA,East Bridgewater,Village Library,Social,1838
MA,East Cambridge,St. John's Literary Institute,Social,1854
MA,East Dennis,Association Library,Social,1868
MA,Easthampton,Easthampton Social Library Assoc.,Social,1840
MA,East Hampton,Public Library,Social,1869
MA,East Sudbury,East Sudbury Charitable Library,Social,1815
MA,East Walpole,East Walpole Library,Social,1869
MA,Easton,Second Social Library,Social,1823
MA,Erving,Library Assoc.,Social,1874
MA,Essex,Chebacco Library Assoc.,Social,1855
MA,Essex,Social Library,Social,1833
MA,Fairhaven,Library Assoc.,Social,1860
MA,Fitchburg,Fitchburg Library Assoc.,Social,1838
MA,Framingham,Framingham Library,Social,1851
MA,Framingham,Social Library,Social,1815
MA,Franklin,Pawtucket Library,Social,1874
MA,Franklin,Social Library,Social,1856
MA,Gardner,South Gardner Library Assoc.,Social,1840
MA,Gloucester,Gloucester Social Library,Social,1812
MA,Greenfield,Library Assoc.,Social,1855
MA,Greenfield,Social Library,Social,1820
MA,Groton,Second Social Library,Social,1828
MA,Groton,United Library,Social,1830
MA,Hardwick,Hardwick Library Association,Social,1802
MA,Harvard,Social Library,Social,1808
MA,Harvard,Union Library,Social,1865
MA,Hatfield,Proprietary Library,Social,1806
MA,Hatfield,Social Library,Social,1870
MA,Haverhill,Haverhill Library Assoc.,Social,1859
MA,Hingham,Social Library of the Third Parish,Social,1827
MA,Jamaica Plain,Eliot Library Assoc.,Social,1857
MA,Kingston,Library Association,Social,1870
MA,Lancaster,Lancaster Library,Social,1851
MA,Lanesborough,Library Assoc.,Social,1870
MA,Lawrence,Franklin Library Assoc.,Social,1847
MA,Leicester,Second Social Library,Social,1829
MA,Lenox,Library Assoc.,Social,1856
MA,Lunenburg,Lunenburg Library Assoc.,Social,1845
MA,Lynn,Lynn Library Assoc.,Social,1855
MA,Lynn,Social Library of Lynn,Social,1815
MA,Manchester,First Social Library,Social,1804
MA,Manchester,Second Social Library,Social,1806
MA,Marion,Marion Library,Social,1855
MA,Medford,Medford Social Library,Social,1825
MA,Medfield,Second Stockholders' Library,Social,1828
MA,Medway,Dean Library Assoc.,Social,1860
MA,Methuen,Methuen Social Society for Reading and General Inquiry,Social,1819
MA,Middleborough,Social Library,Social,1832
MA,Middleton,Library Assoc.,Social,1865
MA,Middleton,Second Social Library,Social,1838
MA,Montague,Public Library,Social,1869
MA,Nantucket,Columbian Library Society,Social,1823
MA,Nantucket,United Library Association,Social,1827
MA,Natick,Citizens' Library,Social,1847
MA,Natick,Natick Public Circulating Library,Social,1808
MA,Needham,Library Assoc.,Social,1875
MA,New Bedford,Library Society,Social,1807
MA,New Bedford,Social Library,Social,1802
MA,New Bedford,Union for Good Works,Social,1870
MA,New Boston,Social Library,Social,1808
MA,Newburyport,Franklin Library,Social,1812
MA,Newton,Newton Book Club,Social,1848
MA,North Adams,Library Assoc.,Social,1855
MA,North Chelmsford,North Chelmsford Library,Social,1872
MA,North Woburn,Rumford Library,Social,1840
MA,Northampton,Northampton Social Library,Social,1815
MA,Northampton,Young Men's Institute,Young Men's Assoc.,1846
MA,Northampton,Young Men's Society,Young Men's Assoc.,1834
MA,Northbridge,Whitinsville Social Library,Social,1844
MA,Northfield,Social Library,Social,1813
MA,Norton,Second Social Library,Social,1825
MA,Orleans,Library Assoc.,Social,1854
MA,Oxford,Second Social Library,Social,1825
MA,Palmer,Public Library Assoc.,Social,1866
MA,Palmer,Social Library,Social,1815
MA,Pittsfield,Pittsfield Library Assoc.,Social,1850
MA,Pittsfield,Social Library,Social,1825
MA,Pittsfield,Young Men's Society,Young Men's Assoc.,1831
MA,Plainfield,Social Library,Social,1832
MA,Reading,Franklin Library,Social,1842
MA,Revere,Chelsea Social Library,Social,1825
MA,Richmond,Second Social Library,Social,1821
MA,Rockland,Library Assoc.,Social,1855
MA,Rowe,Rowe Social Library,Social,1806
MA,Roxbury,Roxbury Library,Social,1805
MA,Roxbury,Social Library,Social,1831
MA,Royalston,Public Library,Social,1874
MA,Salem,Fourth Social Library,Social,1806
MA,Salem,Salem Military Library,Military social,1818
MA,Salem,Social Library of Religion and Literature,Social,1807
MA,Salisbury,Social Library,Social,1805
MA,Sandisfield,Social Library,Social,1808
MA,Sheffield,Friendly Union,Social,1870
MA,Shelburne Centre,First Independent Social Library Co.,Social,1821
MA,Shelburne,Arms Library,Social,1854
MA,Sherborn,Social Library,Social,1808
MA,South Boston,Young Men's Literary Assoc.,Young Men's Assoc.,1848
MA,South Chatham,Pilgrim Library,Social,1875
MA,South Dennis,Library Assoc.,Social,1873
MA,South Gardner,South Gardner Social Library,Social,1841
MA,South Hadley,Social Library of South Hadley,Social,1802
MA,South Yarmouth,South Yarmouth Social Library,Social,1865
MA,Springboro,Library Co.,Social,1836
MA,Springfield,Young Men's Institute,Young Men's Assoc.,1843
MA,Stockbridge,Philomathian Association,Social,1827
MA,Stow,Stow Social Library,Social,1827
MA,Sturbridge,Quenebang Library Assoc.,Social,1850
MA,Sunderland,Second Social Library,Social,1801
MA,Sunderland,Sunderland Library,Social,1869
MA,Swampscott,Literary Assoc.,Social,1852
MA,Swampscott,Town Library,Social,1868
MA,Taunton,Taunton Social Library,Social,1825
MA,Templeton,Library Society of East Templeton,Social,1854
MA,Townsend,Public Library,Social,1861
MA,Tyngsborough,Social Library Of Tyngsborough,Social,1831
MA,Uxbridge,Uxbridge Library Association,Social,1828
MA,Wakefield,Franklin Library,Social,1831
MA,Wakefield,Prescott Library,Social,1845
MA,Wales,Library Assoc.,Social,1866
MA,Walpole,Social Library,Social,1825
MA,Warwick,Warwick Circulating Library,Social,1815
MA,Webster,Webster Circulating Library,Social,1875
MA,Wellfleet,Workers' Library,Social,1874
MA,West Medway,West Medway Circulating Library,Social,1872
MA,West Newbury,Library Assoc.,Social,1874
MA,West Roxbury,Free Library,Social,1823
MA,West Scituate,Assinippi Library,Social,1869
MA,West Springfield,Public Library,Social,1854
MA,West Springfield,Second Social Library,Social,1810
MA,West Springfield,Town Library,Social,1854
MA,Westborough,Union Library Society,Social,1807
MA,Westfield,Westfield Social Library,Social,1830
MA,Whately,Second Social Library,Social,1820
MA,Whitinsville,Soc. Library,Social,1845
MA,Winchendon,Second Social Library,Social,1810
MA,Winchendon,Town Library,Social,1851
MA,Winchester,Winchester Library Assoc.,Social,1848
MA,Woburn,North Woburn Library Assoc.,Social,1840
MA,Worcester,Military Library Society in the Seventh Division,Social,1811
MA,Worcester,Oread Institute,Social,1851
MA,Worcester,Worcester County Musical Assoc.,Musical society,1858
MA,Worcester,Worcester Social Library,Social,1830
MA,Yarmouth,Union Library,Social,1808
MI,Adrian,Madison Township Library,Township,1844
MI,Allegan,Allegan Township Library,Township,1843
MI,Almont,Young Men's Society,Young Men's Assoc.,1848
MI,Atkins,Atkins Township Library,Township,1850
MI,Detroit,Young Men's Soc. Library,Young Men's Assoc.,1833
MN,Austin,Austin Young Men's Assoc.,Young Men's Assoc.,1857
MN,Red Wing,Red Wing Literary and Library Association,Social,1857
MN,Rochester,Library Assoc.,Social,1866
MN,Rushford,Rushford Library,Social,1875
MN,St. Anthony,St. Anthony Library Assoc.,Social,1849
MN,St. Cloud,Union Library,Social,1865
MN,St. Paul,St. Paul Library Assoc.,Social,1857
MN,St. Paul,St. Paul Library,Social,1863
MN,St. Peter,St. Peter Library,Social,1869
MN,Stillwater,Stillwater Library,Social,1859
MN,Stillwater,Library Assoc.,Social,1869
MN,Taylor's Falls,Taylor's Falls Library Assoc.,Social,1871
MN,Taylor's Falls,Young Men's Literary Assoc. of Taylor's Falls,Young Men's Assoc.,1857
MN,Winona,Winona Free Library,Social,1862
MN,Winona,Young Men's Assoc. of Winona,Young Men's Assoc.,1856
MN,Zumbrota,Zumbrota Public Library Assoc.,Social,1868
MO,Brunswick,Library Assoc.,Social,1871
MO,Canton,Canton Library,Social,1874
MO,Franklin,Franklin Library Co.,Social,1819
MO,Glasgow,Public Library,Social,1867
MO,Hannibal,Hannibal Literary Institute,Social,1844
MO,Kansas City,Kansas City Public Library,Social,1875
MO,Maryville,Library and Lecture Assoc.,Social,1870
MO,Moberly,Moberly Library Assoc.,Social,1872
MO,St. Louis,Germania Saengerbund,Musical society,1857
MO,St. Louis,Public School Society of St. Louis,Social,1865
MO,St. Louis,St. Louis Library Assoc.,Social,1824
MO,Sedalia,Library Assoc.,Social,1871
MO,Troy,Social Library,Social,1821
MT,Helena,Library Assoc.,Social,1868
NE,Falls City,Falls City Library Assoc.,Social,1861
NE,Fremont,Liberal Library Assoc.,Social,1873
NE,Omaha,Public Library,Social,1872
NV,Carlin,Library Assoc.,Social,1874
NH,Acworth,Social Library,Social,1801
NH,Acworth,Union Library,Social,1827
NH,Alstead,East Alstead Library,Social,1804
NH,Amherst,Library Association,Social,1859
NH,Amherst,Second Parish Social Library,Religious social,1801
NH,Andover,East Andover Social Library,Social,1849
NH,Andover,Social Library,Social,1814
NH,Ashuelot,Ashuelot Union,Social,1871
NH,Barnstead,Social Library,Social,1807
NH,Barrington,Social Library,Social,1808
NH,Bath,Social Library,Social,1802
NH,Bethlehem,Bethlehem Librarian Society,Social,1808
NH,Boscawen,East Social Library,Social,1829
NH,Boscawen,West Social Library,Social,1828
NH,Bow,Social Library,Social,1822
NH,Bradford,Bradford Union Library,Social,1811
NH,Bradford,Town Library,Social,1859
NH,Brentwood,Social Library,Social,1802
NH,Bridgewater,Bridgewater Social Library,Social,1802
